year,month,first,last,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,total_amount,median_monthly_income,period,expense_to_income_ratio,category_concentration,entertainment_income_adj,food_dining_income_adj,gas_transport_income_adj,grocery_net_income_adj,grocery_pos_income_adj,health_fitness_income_adj,home_income_adj,kids_pets_income_adj,misc_net_income_adj,misc_pos_income_adj,personal_care_income_adj,shopping_net_income_adj,shopping_pos_income_adj,travel_income_adj,grocery_online_ratio,misc_online_ratio
2019,1,Aaron,Murray,404.8,307.99,342.12,149.81,927.21,758.83,776.81,409.83,206.52,179.8,388.36,205.02,1052.0,93.99,7469.46,3667,2019-01-01,2.036940278156531,0.10365625510689477,0.1103899645486774,0.08398963730569949,0.09329697300245432,0.040853558767384786,0.2528524679574584,0.2069348241068994,0.211838014725934,0.11176165803108808,0.056318516498500136,0.049031906190346336,0.10590673575129535,0.055909462776111266,0.2868830106353968,0.025631306244886826,0.13909676700525525,0.5345827293435493
2019,1,Aaron,Pena,167.75,406.97,465.69,55.95,433.46,6.89,494.02,634.01,66.89,16.29,165.31,24.14,328.3,9.48,3275.15,5667,2019-01-01,0.5779336509617081,0.12942043750440577,0.029601199929415917,0.07181401094053291,0.08217575436739015,0.009872948650079408,0.07648844185636139,0.0012158108346567848,0.08717487206634904,0.11187753661549321,0.011803423328039526,0.0028745367919534143,0.029170637021351687,0.004259749426504323,0.05793188635962591,0.0016728427739544733,0.11432132567785702,0.8041596537629238
2019,1,Aaron,Rogers,0.0,54.71,348.83,0.0,98.09,0.0,156.26,125.47,0.0,6.7,77.21,6.76,4.02,0.0,878.0500000000001,7917,2019-01-01,0.11090690918277125,0.23415284594665828,0.0,0.0069104458759631174,0.04406088164708854,0.0,0.012389794113932045,0.0,0.01973727422003284,0.015848174813692054,0.0,0.0008462801566249843,0.009752431476569406,0.0008538587848932677,0.0005077680939749905,0.0,0.0,0.0
2019,1,Aaron,Stewart,62.53,81.5,125.89,36.72,0.0,10.12,317.39000000000004,29.58,0.0,13.58,0.0,10.12,10.44,0.0,697.8700000000001,6000,2019-01-01,0.11631166666666669,0.2666376170732807,0.010421666666666668,0.013583333333333333,0.020981666666666666,0.00612,0.0,0.0016866666666666666,0.05289833333333334,0.0049299999999999995,0.0,0.0022633333333333333,0.0,0.0016866666666666666,0.00174,0.0,1.0,0.0
2019,1,Adam,Keller,0.0,180.81,83.11,127.52,114.65,190.15,64.79,151.65,5.38,0.0,145.64,32.59,2.72,6.09,1105.1,5667,2019-01-01,0.1950061761072878,0.1266776206703841,0.0,0.0319057702488089,0.014665607905417329,0.022502205752602786,0.020231162872772192,0.03355390859361214,0.011432856890771132,0.026760190577024882,0.0009493559202399859,0.0,0.025699664725604372,0.00575083818598906,0.00047997176636668435,0.0010746426680783483,0.5265722426394681,1.0
2019,1,Adam,Kirk,71.83,51.2,850.01,0.0,665.81,150.11,241.86,244.27,99.62,94.68,232.54,25.87,201.4,31.17,2960.37,18333,2019-01-01,0.16147766323024054,0.16311025781381144,0.003918071237658866,0.0027927780505100095,0.04636502481863307,0.0,0.03631756941035291,0.008187967053946437,0.013192603501881853,0.0133240604374625,0.005433916980308733,0.005164457535591556,0.012684230622374951,0.001411116565755741,0.010985654284623357,0.0017002127311405663,0.0,0.5127123005661348
2019,1,Adam,Mcdonald,267.23,110.45,209.4,93.9,214.06,297.33,319.95,193.74,225.1,68.66,0.0,355.76,257.05,93.99,3103.6400000000003,6000,2019-01-01,0.5172733333333334,0.09108433187761933,0.04453833333333334,0.018408333333333332,0.0349,0.01565,0.03567666666666667,0.049554999999999995,0.053325,0.03229,0.03751666666666666,0.011443333333333333,0.0,0.05929333333333333,0.04284166666666667,0.015665,0.3049097285361735,0.7662717864923747
2019,1,Adam,Riddle,447.52,541.08,339.44,104.05,877.0,597.49,485.09,188.04,240.7,72.71,372.33,451.77,658.57,93.99,8953.759999999998,4833,2019-01-01,1.8526298365404508,0.09573944181674938,0.09259673080902131,0.11195530726256984,0.07023380922822263,0.021529070970411752,0.18146079039933788,0.1236271466997724,0.10037037037037036,0.03890751086281812,0.04980343471963584,0.015044485826608731,0.07703910614525139,0.09347610180012414,0.13626525967308092,0.019447548106765983,0.10605983385148565,0.7680035735936952
2019,1,Adam,Santos,426.19,297.0,672.93,203.69,897.9200000000001,244.03,1055.33,279.49,9.78,47.27,135.17000000000002,1522.8,1490.67,93.99,7406.030000000001,6000,2019-01-01,1.2343383333333335,0.13586431739960586,0.07103166666666666,0.0495,0.11215499999999999,0.03394833333333333,0.14965333333333333,0.04067166666666667,0.1758883333333333,0.04658166666666667,0.00163,0.007878333333333334,0.022528333333333338,0.25379999999999997,0.248445,0.015665,0.184902097838618,0.1714285714285714
2019,1,Adam,Stark,336.42,217.91,503.65,101.51,3274.19,258.67,134.03,614.73,705.13,177.36,219.82,2200.04,14.72,1.04,11610.51,4833,2019-01-01,2.4023401613904407,0.22190073546848244,0.06960893854748604,0.045087937099110284,0.1042106352162218,0.021003517483964413,0.6774653424374095,0.05352162218084006,0.027732257397061866,0.12719428926132836,0.14589902751913925,0.03669770328988206,0.04548313676805297,0.45521208359197185,0.0030457272915373475,0.00021518725429339955,0.030070800130343335,0.7990232183934095
2019,1,Adriana,Harvey,44.42,58.36,595.25,68.14,152.55,119.37,99.65,138.64,20.02,387.03,61.47,1266.59,86.66,55.27,3153.42,14583,2019-01-01,0.21623945690187205,0.22121784944956466,0.0030460124802852637,0.004001920043886717,0.040818075841733525,0.004672563944318728,0.010460810532812179,0.008185558527052047,0.006833299046835357,0.00950696015908935,0.0013728313790029485,0.026539806624151407,0.004215182061304258,0.08685387094562161,0.005942535829390386,0.0037900294863882607,0.3087588925642304,0.04918314703353397
2019,1,Alan,Colon,260.6,118.63,281.87,239.99,424.21,191.68,408.39,551.73,30.63,528.8399999999999,65.48,572.19,16.47,0.0,3690.710000000001,7083,2019-01-01,0.5210659325144714,0.11155181952561877,0.03679231963857123,0.01674855287307638,0.039795284483975714,0.03388253564873641,0.05989128900183538,0.027061979387265286,0.05765777213045319,0.07789495976281237,0.004324438797119864,0.07466327827191867,0.009244670337427645,0.08078356628547227,0.0023252858958068613,0.0,0.3613218909966877,0.054748243873666155
2019,1,Alan,Howard,39.830000000000005,313.24,199.27,99.61,171.51,77.25999999999999,165.13,397.89,437.75,296.65,122.1,13.29,65.0,13.06,2411.59,4583,2019-01-01,0.5262033602443814,0.11510305145267004,0.0086908138773729,0.06834824350861882,0.043480253109317045,0.021734671612480907,0.03742308531529565,0.016857953305694957,0.03603098407156884,0.08681867772201614,0.09551603753000218,0.06472834387955487,0.026641937595461487,0.0028998472616190265,0.014182849661793584,0.002849661793584988,0.36740188846267335,0.5960648148148149
